"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
,(64),(65)
00000,"5,112,640","80,160,634"
00000,116550,229306
00000,457690,815490
00000,721460,2138961
00000,807510,3699871
00000,1915710,16208830
00000,1093720,57068176
,,
90001,"2,110","5,473"
90001,150,130
90001,840,1061
90001,640,1548
90001,290,1165
90001,190,1569
90001,**,**
,,
90002,"2,340","5,396"
90002,170,145
90002,910,1076
90002,750,1712
90002,330,1259
90002,180,1204
90002,**,**
,,
90003,"2,590","5,675"
90003,250,196
90003,1080,1356
90003,750,1645
90003,320,1155
90003,190,1323
90003,**,**
,,
90004,"4,900","128,002"
90004,260,746
90004,690,1317
90004,730,2564
90004,670,3556
90004,1270,12207
90004,1280,107612
,,
90005,"1,900","36,734"
90005,70,88
90005,350,658
90005,300,1171
90005,320,1917
90005,490,4756
90005,370,28144
,,
90006,"1,740","8,413"
90006,130,107
90006,530,682
90006,370,1027
90006,270,1282
90006,360,3249
90006,80,2066
,,
90007,"1,190","5,626"
90007,100,94
90007,350,439
90007,290,794
90007,180,842
90007,220,1871
90007,50,1586
,,
90008,"3,960","29,088"
90008,160,182
90008,630,1010
90008,790,2286
90008,710,3276
90008,1250,10439
90008,420,11895
,,
90010,730,"60,234"
90010,20,34
90010,60,166
90010,70,263
90010,90,506
90010,210,2840
90010,280,56425
,,
90011,"2,970","7,036"
90011,280,206
90011,1250,1466
90011,840,1917
90011,370,1471
90011,230,1976
90011,**,**
,,
90012,"2,540","30,689"
90012,110,206
90012,250,519
90012,350,1371
90012,540,3087
90012,950,10081
90012,340,15425
,,
90013,"1,390","17,937"
90013,30,64
90013,120,441
90013,170,627
90013,260,1623
90013,580,6020
90013,230,9162
,,
90014,"1,060","17,039"
90014,30,90
90014,80,192
90014,130,522
90014,210,1277
90014,430,4441
90014,180,10517
,,
90015,"1,940","38,684"
90015,70,46
90015,200,441
90015,230,850
90015,250,1571
90015,710,8017
90015,480,27759
,,
90016,"4,360","25,261"
90016,210,173
90016,890,1358
90016,1020,2935
90016,800,3712
90016,1150,9650
90016,290,7433
,,
90017,"1,730","43,817"
90017,50,67
90017,160,343
90017,210,860
90017,270,1814
90017,640,6765
90017,400,33968
,,
90018,"3,410","17,000"
90018,190,192
90018,850,1104
90018,830,2355
90018,610,2572
90018,730,5666
90018,200,5111
,,
90019,"5,840","58,769"
90019,250,624
90019,840,1524
90019,1050,3441
90019,910,4763
90019,1800,16967
90019,990,31450
,,
90020,"2,340","77,701"
90020,90,99
90020,410,583
90020,440,1658
90020,410,2229
90020,580,5077
90020,410,68055
,,
90021,380,"10,554"
90021,**,**
90021,50,113
90021,40,241
90021,50,391
90021,130,1714
90021,110,8095
,,
90022,"3,130","14,767"
90022,170,183
90022,930,1198
90022,910,2275
90022,610,2373
90022,460,3272
90022,50,5466
,,
90023,"1,670","6,897"
90023,110,85
90023,530,673
90023,500,1183
90023,290,1208
90023,210,1518
90023,30,2230
,,
90024,"6,550","565,188"
90024,170,1197
90024,280,1446
90024,470,2309
90024,580,3655
90024,1770,19160
90024,3280,537421
,,
90025,"9,860","473,587"
90025,230,712
90025,550,1501
90025,920,4065
90025,1480,9385
90025,3560,37678
90025,3120,420246
,,
90026,"6,690","67,711"
90026,280,535
90026,990,1872
90026,1120,3977
90026,1150,6832
90026,2170,21039
90026,980,33456
,,
90027,"6,600","139,570"
90027,250,623
90027,690,1423
90027,900,3257
90027,1080,6610
90027,2110,21193
90027,1570,106464
,,
90028,"2,630","28,074"
90028,140,237
90028,440,818
90028,530,1915
90028,460,2850
90028,740,7661
90028,320,14593
,,
90029,"2,080","14,389"
90029,110,240
90029,400,622
90029,460,1512
90029,350,1823
90029,610,5580
90029,150,4612
,,
90031,"2,290","14,298"
90031,120,106
90031,440,644
90031,570,1735
90031,440,2232
90031,590,5165
90031,130,4416
,,
90032,"3,870","20,142"
90032,150,143
90032,680,1060
90032,940,2679
90032,860,3942
90032,1090,8419
90032,150,3899
,,
90033,"1,540","5,692"
90033,100,113
90033,490,628
90033,410,1065
90033,270,1196
90033,230,1810
90033,40,880
,,
90034,"7,790","101,184"
90034,190,645
90034,690,1376
90034,1130,4032
90034,1470,8296
90034,2810,27370
90034,1500,59465
,,
90035,"4,960","95,042"
90035,140,348
90035,350,904
90035,520,1983
90035,750,4226
90035,1710,16598
90035,1490,70983
,,
90036,"6,730","142,316"
90036,190,566
90036,480,1457
90036,790,3159
90036,1030,6314
90036,2480,26053
90036,1760,104767
,,
90037,"2,310","5,842"
90037,200,127
90037,920,1041
90037,610,1435
90037,350,1387
90037,230,1852
90037,**,**
,,
