ZIP,Number of returns,Amount
90001,5473,2110
90001,130,150
90001,1061,840
90001,1548,640
90001,1165,290
90001,1569,190
90002,5396,2340
90002,145,170
90002,1076,910
90002,1712,750
90002,1259,330
90002,1204,180
90003,5675,2590
90003,196,250
90003,1356,1080
90003,1645,750
90003,1155,320
90003,1323,190
90004,128002,4900
90004,746,260
90004,1317,690
90004,2564,730
90004,3556,670
90004,12207,1270
90004,107612,1280
90005,36734,1900
90005,88,70
90005,658,350
90005,1171,300
90005,1917,320
90005,4756,490
90005,28144,370
90006,8413,1740
90006,107,130
90006,682,530
90006,1027,370
90006,1282,270
90006,3249,360
90006,2066,80
90007,5626,1190
90007,94,100
90007,439,350
90007,794,290
90007,842,180
90007,1871,220
90007,1586,50
90008,29088,3960
90008,182,160
90008,1010,630
90008,2286,790
90008,3276,710
90008,10439,1250
90008,11895,420
90010,60234,730
90010,34,20
90010,166,60
90010,263,70
90010,506,90
90010,2840,210
90010,56425,280
90011,7036,2970
90011,206,280
90011,1466,1250
90011,1917,840
90011,1471,370
90011,1976,230
90012,30689,2540
90012,206,110
90012,519,250
90012,1371,350
90012,3087,540
90012,10081,950
90012,15425,340
90013,17937,1390
90013,64,30
90013,441,120
90013,627,170
90013,1623,260
90013,6020,580
90013,9162,230
90014,17039,1060
90014,90,30
90014,192,80
90014,522,130
90014,1277,210
90014,4441,430
90014,10517,180
90015,38684,1940
90015,46,70
90015,441,200
90015,850,230
90015,1571,250
90015,8017,710
90015,27759,480
90016,25261,4360
90016,173,210
90016,1358,890
90016,2935,1020
90016,3712,800
90016,9650,1150
90016,7433,290
90017,43817,1730
90017,67,50
90017,343,160
90017,860,210
90017,1814,270
90017,6765,640
90017,33968,400
90018,17000,3410
90018,192,190
90018,1104,850
90018,2355,830
90018,2572,610
90018,5666,730
90018,5111,200
90019,58769,5840
90019,624,250
90019,1524,840
90019,3441,1050
90019,4763,910
90019,16967,1800
90019,31450,990
90020,77701,2340
90020,99,90
90020,583,410
90020,1658,440
90020,2229,410
90020,5077,580
90020,68055,410
90021,10554,380
90021,113,50
90021,241,40
90021,391,50
90021,1714,130
90021,8095,110
90022,14767,3130
90022,183,170
90022,1198,930
90022,2275,910
90022,2373,610
90022,3272,460
90022,5466,50
90023,6897,1670
90023,85,110
90023,673,530
90023,1183,500
90023,1208,290
90023,1518,210
90023,2230,30
90024,565188,6550
90024,1197,170
90024,1446,280
90024,2309,470
90024,3655,580
90024,19160,1770
90024,537421,3280
90025,473587,9860
90025,712,230
90025,1501,550
90025,4065,920
90025,9385,1480
90025,37678,3560
90025,420246,3120
90026,67711,6690
90026,535,280
90026,1872,990
90026,3977,1120
90026,6832,1150
90026,21039,2170
90026,33456,980
90027,139570,6600
90027,623,250
90027,1423,690
90027,3257,900
90027,6610,1080
90027,21193,2110
90027,106464,1570
90028,28074,2630
90028,237,140
90028,818,440
90028,1915,530
90028,2850,460
90028,7661,740
90028,14593,320
90029,14389,2080
90029,240,110
90029,622,400
90029,1512,460
90029,1823,350
90029,5580,610
90029,4612,150
90031,14298,2290
90031,106,120
90031,644,440
90031,1735,570
90031,2232,440
90031,5165,590
90031,4416,130
90032,20142,3870
90032,143,150
90032,1060,680
90032,2679,940
90032,3942,860
90032,8419,1090
90032,3899,150
90033,5692,1540
90033,113,100
90033,628,490
90033,1065,410
90033,1196,270
90033,1810,230
90033,880,40
90034,101184,7790
90034,645,190
90034,1376,690
90034,4032,1130
90034,8296,1470
90034,27370,2810
90034,59465,1500
90035,95042,4960
90035,348,140
90035,904,350
90035,1983,520
90035,4226,750
90035,16598,1710
90035,70983,1490
90036,142316,6730
90036,566,190
90036,1457,480
90036,3159,790
90036,6314,1030
90036,26053,2480
90036,104767,1760
90037,5842,2310
90037,127,200
90037,1041,920
90037,1435,610
90037,1387,350
90037,1852,230
90038,23065,1990
90038,212,130
90038,795,380
90038,1116,350
90038,1895,320
90038,5707,570
90038,13340,240
90039,62380,4950
90039,366,140
90039,977,500
90039,2340,660
90039,4368,800
90039,16877,1770
90039,37452,1080
90040,14155,960
90040,15,40
90040,269,220
90040,633,260
90040,726,190
90040,1245,190
90040,11267,60
90041,38613,4220
90041,212,120
90041,694,390
90041,1839,630
90041,3348,730
90041,14002,1640
90041,18518,710
90042,45301,6280
90042,356,180
90042,1522,860
90042,3783,1240
90042,5868,1210
90042,18419,2170
90042,15353,620
90043,33350,5720
90043,310,230
90043,1415,1020
90043,3401,1250
90043,4740,1110
90043,12575,1620
90043,10909,490
90044,12805,4600
90044,238,340
90044,1931,1540
90044,3558,1390
90044,3036,770
90044,3568,530
90044,474,30
90045,124751,7930
90045,191,140
90045,936,410
90045,2617,770
90045,5609,1100
90045,29821,3220
90045,85577,2290
90046,184218,9360
90046,1481,340
90046,2258,950
90046,5160,1270
90046,9196,1440
90046,32205,3060
90046,133918,2300
90047,21300,5760
90047,244,270
90047,1901,1340
90047,4486,1770
90047,5060,1190
90047,7601,1080
90047,2008,110
90048,129248,5130
90048,607,130
90048,990,320
90048,2380,540
90048,4721,750
90048,18922,1740
90048,101628,1650
90049,757421,9870
90049,1254,230
90049,1558,310
90049,3841,620
90049,6787,900
90049,31187,2760
90049,712794,5050
90056,24749,1960
90056,48,30
90056,294,170
90056,784,250
90056,1506,320
90056,5955,710
90056,16162,480
90057,5707,1160
90057,182,90
90057,584,380
90057,713,250
90057,889,180
90057,1813,220
90057,1526,40
90058,15578,170
90058,67,40
90058,85,30
90058,324,40
90058,15102,60
90059,5626,2230
90059,85,140
90059,928,780
90059,1683,710
90059,1426,370
90059,1504,230
90061,5319,1590
90061,47,100
90061,672,530
90061,1184,490
90061,1119,280
90061,2297,190
90062,7088,2300
90062,81,130
90062,924,760
90062,1636,670
90062,1543,390
90062,2306,320
90062,598,30
90063,9894,2580
90063,140,160
90063,967,780
90063,1998,760
90063,2105,470
90063,2601,370
90063,2083,40
90064,341717,6630
90064,648,150
90064,984,280
90064,2378,540
90064,3945,670
90064,21568,2080
90064,312194,2910
90065,49968,5640
90065,213,160
90065,1055,650
90065,2555,850
90065,4556,930
90065,19125,2150
90065,22464,900
90066,151735,9590
90066,800,220
90066,1762,650
90066,4319,1080
90066,7987,1430
90066,33044,3450
90066,103823,2760
90067,340898,2150
90067,377,60
90067,333,60
90067,792,110
90067,1272,120
90067,4902,430
90067,333222,1370
90068,114464,5090
90068,476,160
90068,1168,410
90068,2347,570
90068,4087,660
90068,16439,1620
90068,89947,1670
90069,199564,6190
90069,977,180
90069,1221,420
90069,2995,690
90069,5560,890
90069,25019,2180
90069,163792,1830
90077,218140,2430
90077,314,70
90077,502,70
90077,762,110
90077,1027,170
90077,5221,520
90077,210314,1490
90094,52474,2670
90094,59,40
90094,310,100
90094,708,190
90094,2042,320
90094,10442,990
90094,38913,1030
90201,11838,3880
90201,182,280
90201,1653,1330
90201,2776,1160
90201,2395,620
90201,2930,450
90201,1902,40
90210,700149,5370
90210,1129,150
90210,1374,190
90210,1816,250
90210,3102,340
90210,12398,1070
90210,680330,3370
90211,159686,2290
90211,254,80
90211,542,130
90211,651,170
90211,1548,230
90211,6516,610
90211,150175,1070
90212,353537,3340
90212,485,110
90212,549,160
90212,1518,270
90212,2334,330
90212,10418,910
90212,338233,1560
90220,15887,4070
90220,142,210
90220,1588,1240
90220,3151,1300
90220,2792,730
90220,3531,540
90220,4683,50
90221,9464,3470
90221,161,250
90221,1405,1170
90221,2386,1050
90221,2203,600
90221,2370,380
90221,939,20
90222,5709,2160
90222,58,110
90222,907,720
90222,1711,720
90222,1442,370
90222,1591,240
90230,85328,6150
90230,495,140
90230,822,410
90230,2643,790
90230,4861,950
90230,22614,2510
90230,53893,1350
90232,46683,3020
90232,214,60
90232,503,190
90232,1292,340
90232,2450,440
90232,10503,1090
90232,31721,900
90240,34241,3710
90240,238,90
90240,775,410
90240,1950,640
90240,3021,710
90240,10475,1380
90240,17782,480
90241,34223,4930
90241,135,130
90241,1050,710
90241,2575,910
90241,4117,970
90241,13197,1770
90241,13149,440
90242,22379,4540
90242,159,160
90242,978,720
90242,2724,1040
90242,4111,1000
90242,10241,1450
90242,4166,170
90245,66651,4030
90245,214,70
90245,383,170
90245,1274,370
90245,3068,570
90245,16225,1650
90245,45487,1200
90247,21274,4530
90247,172,180
90247,1321,860
90247,3081,1140
90247,4084,970
90247,9306,1210
90247,3310,170
90248,13010,1500
90248,53,40
90248,449,210
90248,760,300
90248,1473,300
90248,3893,500
90248,6382,150
90249,17577,3420
90249,129,110
90249,825,530
90249,2128,800
90249,2993,700
90249,8403,1120
90249,3099,160
90250,60867,9110
90250,362,300
90250,2311,1730
90250,5097,1950
90250,6966,1620
90250,22103,2740
90250,24028,770
90254,167206,5560
90254,385,100
90254,595,210
90254,1780,400
90254,4421,710
90254,20546,1970
90254,139479,2170
90255,10511,3580
90255,146,230
90255,1446,1160
90255,2574,1070
90255,2508,620
90255,3025,470
90255,812,30
90260,16691,3140
90260,104,100
90260,829,600
90260,1996,740
90260,2917,630
90260,7376,920
90260,3469,150
90262,12204,4300
90262,215,250
90262,1752,1350
90262,3048,1270
90262,3099,830
90262,3553,570
90262,537,30
90265,175244,3340
90265,352,100
90265,518,140
90265,1135,220
90265,1650,290
90265,9111,910
90265,162478,1680
90266,509103,9690
90266,578,150
90266,1381,270
90266,2107,410
90266,4292,690
90266,28425,2690
90266,472320,5480
90270,3192,1240
90270,58,100
90270,522,440
90270,931,390
90270,710,190
90270,971,120
90272,583816,6180
90272,683,150
90272,945,170
90272,1401,280
90272,2724,380
90272,15431,1410
90272,562632,3790
90274,406294,7400
90274,581,110
90274,638,180
90274,1466,370
90274,2556,470
90274,19855,2030
90274,381198,4240
90275,249100,10160
90275,571,130
90275,1099,310
90275,1910,590
90275,4401,910
90275,33518,3730
90275,207601,4490
90277,156910,8950
90277,535,160
90277,1127,390
90277,2954,790
90277,6568,1170
90277,34188,3530
90277,111538,2910
90278,123951,9390
90278,277,130
90278,1022,400
90278,2719,810
90278,6330,1220
90278,37118,3940
90278,76485,2890
90280,21634,6770
90280,234,340
90280,2352,1890
90280,4725,1990
90280,5074,1330
90280,7161,1140
90280,2088,80
90290,38392,1300
90290,172,50
90290,143,60
90290,458,100
90290,707,140
90290,4523,480
90290,32389,470
90291,178258,5680
90291,716,150
90291,966,320
90291,2539,570
90291,4912,810
90291,22745,2120
90291,146380,1710
90292,177428,6780
90292,539,140
90292,951,320
90292,2351,550
90292,4899,780
90292,29919,2730
90292,138769,2260
90293,54723,3490
90293,149,50
90293,539,190
90293,1886,400
90293,3491,620
90293,13845,1410
90293,34813,820
90301,9102,2410
90301,81,110
90301,1060,750
90301,1860,730
90301,1732,420
90301,2415,340
90301,1954,60
90302,16316,2620
90302,143,120
90302,796,580
90302,2130,750
90302,2076,470
90302,4552,600
90302,6619,100
90303,7312,1980
90303,119,110
90303,622,490
90303,1219,530
90303,1619,400
90303,2725,390
90303,1008,60
90304,4771,1320
90304,83,100
90304,498,410
90304,863,360
90304,883,210
90304,1507,200
90304,937,40
90305,14354,2920
90305,88,100
90305,730,440
90305,1933,700
90305,2773,640
90305,6727,910
90305,2103,130
90401,115914,1750
90401,81,40
90401,322,100
90401,603,140
90401,1857,240
90401,7605,660
90401,105446,570
90402,321593,3090
90402,261,90
90402,574,90
90402,589,120
90402,1802,190
90402,7030,640
90402,311337,1960
90403,171479,6430
90403,521,130
90403,1080,290
90403,2377,540
90403,5110,820
90403,26082,2370
90403,136309,2280
90404,79904,3590
90404,199,100
90404,588,270
90404,1619,400
90404,3404,580
90404,14340,1370
90404,59754,870
90405,198446,6630
90405,552,150
90405,917,330
90405,2218,560
90405,5531,910
90405,25219,2410
90405,164009,2270
90501,52357,5390
90501,215,150
90501,816,530
90501,2417,830
90501,4225,880
90501,18063,2180
90501,26621,820
90502,17283,2800
90502,83,70
90502,509,370
90502,1654,600
90502,2406,540
90502,8085,1040
90502,4546,180
