Zip Code,Total times 1k,num returns
90001,619635000,21670
90001,171277000,11890
90001,245583000,7020
90001,116362000,1940
90001,47795000,560
90001,28531000,240
90001,10087000,20
90002,563172000,19890
90002,160622000,11120
90002,218400000,6210
90002,107839000,1790
90002,46522000,540
90002,29789000,230
90003,730810000,27290
90003,227354000,15900
90003,294348000,8450
90003,126350000,2110
90003,49387000,580
90003,33371000,250
90004,1995586000,27810
90004,169967000,12830
90004,272508000,7550
90004,186996000,3050
90004,119648000,1370
90004,230811000,1670
90004,1015656000,1340
90005,807743000,15850
90005,102800000,7660
90005,169344000,4700
90005,99212000,1610
90005,64595000,750
90005,100089000,740
90005,271703000,390
90006,685595000,23010
90006,177803000,12980
90006,248071000,7060
90006,106228000,1750
90006,53365000,610
90006,67099000,510
90006,33029000,100
90007,382443000,12620
90007,93096000,7150
90007,128408000,3630
90007,65125000,1070
90007,32423000,380
90007,43668000,330
90007,19723000,60
90008,791390000,15040
90008,83357000,6220
90008,142757000,3910
90008,122333000,1970
90008,92561000,1060
90008,197552000,1440
90008,152830000,440
90010,533018000,2430
90010,9535000,850
90010,16871000,450
90010,18438000,290
90010,18581000,210
90010,45768000,310
90010,423825000,320
90011,1026864000,38350
90011,324667000,22450
90011,417885000,12090
90011,164608000,2740
90011,62645000,730
90011,40376000,320
90011,16683000,20
90012,695466000,11830
90012,61049000,4750
90012,105636000,2870
90012,96478000,1540
90012,89379000,1030
90012,172314000,1260
90012,170610000,380
90013,334702000,4440
90013,19788000,1610
90013,30945000,830
90013,38536000,610
90013,39451000,450
90013,94822000,690
90013,111160000,250
90014,285454000,3490
90014,15153000,1200
90014,27139000,720
90014,30652000,480
90014,31933000,360
90014,73520000,540
90014,107057000,190
90015,624512000,8650
90015,51531000,3810
90015,73827000,2070
90015,54764000,880
90015,44857000,510
90015,125107000,880
90015,274426000,500
90016,955111000,22390
90016,135967000,9900
90016,237053000,6530
90016,179223000,2920
90016,113468000,1310
90016,190925000,1420
90016,98475000,310
90017,679732000,9590
90017,60853000,4450
90017,82726000,2330
90017,59603000,970
90017,49012000,560
90017,117266000,850
90017,310272000,430
90018,833073000,22070
90018,147780000,10860
90018,237565000,6640
90018,145708000,2390
90018,90959000,1050
90018,120977000,910
90018,90084000,220
90019,1570382000,29240
90019,165239000,12330
90019,294885000,8080
90019,223825000,3620
90019,157071000,1800
90019,328628000,2370
90019,400734000,1040
90020,1205218000,18070
90020,109370000,8280
90020,190792000,5240
90020,141992000,2310
90020,81242000,940
90020,112572000,860
90020,569250000,440
90021,144916000,1380
90021,7867000,580
90021,10453000,290
90021,7979000,130
90021,8116000,90
90021,24432000,170
90021,86069000,120
90022,940697000,27720
90022,195569000,13660
90022,322917000,9130
90022,185756000,3070
90022,98893000,1160
90022,79534000,640
90022,58028000,60
90023,565031000,18190
90023,136861000,9510
90023,210522000,5980
90023,109254000,1820
90023,47578000,560
90023,37803000,290
90023,23013000,30
90024,5508452000,15130
90024,48806000,4360
90024,84882000,2230
90024,99867000,1580
90024,102256000,1160
90024,344698000,2360
90024,4827943000,3440
90025,5081001000,25630
90025,76063000,5860
90025,198674000,5200
90025,244957000,3890
90025,248029000,2820
90025,646035000,4570
90025,3667243000,3290
